,season,round,circuit_id,country,driver,nationality,constructor,podium,driver_points,driver_wins,driver_position,constructor_points,constructor_wins,constructor_position,driver_age
0,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
1,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
2,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
3,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
4,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
5,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
6,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
7,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
8,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
9,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
10,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
11,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
12,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
13,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
14,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
15,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
16,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
17,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
18,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
19,2012,1,albert_park,Australia,button,British,mclaren,1,25,1,1,0,0,0,32
20,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
21,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
22,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
23,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
24,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
25,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
26,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
27,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
28,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
29,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
30,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
31,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
32,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
33,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
34,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
35,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
36,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
37,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
38,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
39,2012,1,albert_park,Australia,vettel,German,red_bull,2,18,0,2,0,0,0,24
40,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
41,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
42,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
43,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
44,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
45,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
46,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
47,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
48,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
49,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
50,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
51,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
52,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
53,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
54,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
55,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
56,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
57,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
58,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
59,2012,1,albert_park,Australia,hamilton,British,mclaren,3,15,0,3,0,0,0,27
60,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
61,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
62,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
63,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
64,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
65,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
66,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
67,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
68,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
69,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
70,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
71,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
72,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
73,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
74,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
75,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
76,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
77,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
78,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
79,2012,1,albert_park,Australia,webber,Australian,red_bull,4,12,0,4,0,0,0,35
80,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
81,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
82,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
83,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
84,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
85,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
86,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
87,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
88,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
89,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
90,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
91,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
92,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
93,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
94,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
95,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
96,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
97,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
98,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
99,2012,1,albert_park,Australia,alonso,Spanish,ferrari,5,10,0,5,0,0,0,30
100,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
101,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
102,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
103,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
104,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
105,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
106,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
107,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
108,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
109,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
110,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
111,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
112,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
113,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
114,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
115,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
116,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
117,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
118,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
119,2012,1,albert_park,Australia,kobayashi,Japanese,sauber,6,8,0,6,0,0,0,25
120,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
121,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
122,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
123,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
124,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
125,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
126,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
127,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
128,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
129,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
130,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
131,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
132,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
133,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
134,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
135,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
136,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
137,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
138,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
139,2012,1,albert_park,Australia,raikkonen,Finnish,lotus_f1,7,6,0,7,0,0,0,32
140,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
141,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
142,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
143,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
144,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
145,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
146,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
147,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
148,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
149,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
150,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
151,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
152,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
153,2012,1,albert_park,Australia,perez,Mexican,sauber,8,4,0,8,0,0,0,22
